column_name,percent_na,percent_non_na
Year,0,100
Number of employees,89.82939632545933,10.170603674540672
Shareholders funds th USD,94.71784776902888,5.282152230971121
Cash flow [Net Income before D&A] th USD,97.76902887139107,2.230971128608928
P/L for period [=Net income] th USD,92.68372703412074,7.316272965879264
Net Income th USD,98.55643044619423,1.443569553805773
"Short Term Debt, Net th USD",99.60629921259843,0.39370078740157055
"Long Term Debt, Net th USD",98.98293963254594,1.0170603674540644
Total Debt Issued th USD,99.93438320209974,0.06561679790026176
Investment in real estate th USD,100,0
Cash and cash equivalents th USD,99.40944881889764,0.5905511811023558
Operating revenue (Turnover) th USD,90.68241469816273,9.31758530183727
Total assets th USD,90.1246719160105,9.875328083989501
Solvency ratio (Asset based),90.51837270341207,9.48162729658793
Net debt th USD,97.47375328083989,2.5262467191601132
Net assets th USD,97.47375328083989,2.5262467191601132
Total liabilities th USD,97.47375328083989,2.5262467191601132
Loans & Borrowings th USD,99.21259842519686,0.7874015748031411
Depreciation th USD,97.63779527559055,2.3622047244094517
Amortization & depletion th USD,97.70341207349081,2.29658792650919
Other non-operating and financial income (expenses) th USD,97.9002624671916,2.0997375328084047
Amortization th USD,99.50787401574803,0.4921259842519703
Equity in Net Earnings/Loss th USD,98.8517060367454,1.148293963254602
Purchase of Fixed Assets th USD,99.21259842519686,0.7874015748031411
Capital Expenditures th USD,99.08136482939632,0.9186351706036788
Software Development Costs th USD,100,0
Purchase/Acquisition of Intangibles th USD,99.67191601049869,0.3280839895013088
Purchase of Investments th USD,98.72047244094489,1.2795275590551114
Other Investing Cash Flow th USD,98.88451443569554,1.115485564304464
Financing Cash Flow Items th USD,98.9501312335958,1.0498687664042023
Total Cash from Financing Activities th USD,98.55643044619423,1.443569553805773
"NACE Rev. 2, core code (4 digits)",35.43307086614173,64.56692913385827
VAT/Tax number,91.33858267716536,8.661417322834637
Tax Identification Number (TIN),85.8267716535433,14.173228346456696
datinc,30.708661417322837,69.29133858267716
No of companies in corporate group,0,100
Number of directors & managers,0,100
"US SIC, primary code(s)",35.43307086614173,64.56692913385827
ISIN number,100,0
Previous company name Latin Alphabet,100,0
Listing status,100,0
Market price - Year to date - High USD,95.2755905511811,4.7244094488189035
Market price - Year to date - Low USD,95.2755905511811,4.7244094488189035
